Datum,Month,TotalRevenue,PageviewsAlexa, pageeCPM,USDeCPM,Adsense,OpenX,OtherAdNetw,Outbr,ADX,MobPV,TotalMobile,MobeCPM,MobAdsense,MobOpenX,MobOtherAd,MobOutB,ADXm,AdSnsDesktop,AdSnsMobile,AdSnsRadio,USDesktop,USDBC,USDMobile,MobileExpo9 ,TotalExpo9,MobileOutbrain,TotalOutbrain,TotalSwitchAds,TotalConv,USDEURO
Thu    11/Feb/16,Feb-16,3910.99,3298000.00,1.19,1.34,1251.07,1185.65,243.83,710.02,520.42,2027000.00,1397.09,0.69,471.00,239.83,146.85,419.40,120.00,552.00,471.00,217.00,1065.93,0.00,270.29,101.00,200.42,419.40,710.02,9.87,0.00,0.89
Fri    12/Feb/16,Feb-16,3788.08,3257000.00,1.16,1.32,1154.05,1142.17,206.32,831.25,454.30,2051000.00,1513.71,0.74,455.00,258.85,127.85,542.00,130.00,474.00,455.00,214.00,999.36,0.00,292.86,81.00,157.92,542.00,831.25,11.85,0.00,0.88
Sat    13/Feb/16,Feb-16,3085.33,2495000.00,1.24,1.40,1021.00,888.61,165.53,656.66,353.53,1637000.00,1317.47,0.80,454.00,228.11,106.35,409.00,120.00,352.00,454.00,206.00,745.26,0.00,257.39,65.00,112.81,409.00,656.66,18.96,0.00,0.89
Sun    14/Feb/16,Feb-16,2652.69,2072000.00,1.28,1.44,866.19,734.66,135.75,574.70,341.39,1398000.00,1123.25,0.80,384.16,196.03,74.61,358.45,110.00,301.00,384.16,173.00,606.43,0.00,220.71,41.00,98.25,358.45,574.70,11.59,0.00,0.89
Mon    15/Feb/16,Feb-16,3474.65,2805000.00,1.24,1.39,1061.02,977.62,203.75,737.50,494.76,1495000.00,1318.97,0.88,444.00,223.03,100.93,401.00,150.00,407.00,444.00,199.00,849.58,0.00,251.11,51.64,150.22,401.00,737.50,17.18,0.00,0.89
Tue    16/Feb/16,Feb-16,3401.12,2959000.00,1.15,1.29,978.58,964.36,234.80,746.38,477.00,1637000.00,1278.98,0.78,382.00,203.70,116.82,426.46,150.00,399.00,382.00,187.00,851.76,0.00,228.10,60.81,172.54,426.46,746.38,20.38,0.00,0.89
Wed    17/Feb/16,Feb-16,3275.98,2832000.00,1.16,1.29,1034.43,1004.70,200.85,643.66,392.34,1563000.00,1270.28,0.81,416.00,268.71,98.57,347.00,140.00,427.00,416.00,178.00,821.32,0.00,299.87,50.00,150.14,347.00,643.66,14.00,0.00,0.90
Thu    18/Feb/16,Feb-16,3558.40,3325000.00,1.07,1.19,1051.00,997.63,261.27,778.50,470.00,1937000.00,1385.00,0.72,415.00,215.70,137.29,467.00,150.00,443.00,415.00,182.00,871.38,0.00,240.38,85.00,203.97,467.00,778.50,19.19,0.00,0.90
Fri    19/Feb/16,Feb-16,3352.03,2925000.00,1.15,1.27,1017.00,963.04,220.64,716.65,434.70,1665000.00,1337.16,0.80,405.00,227.71,116.44,438.00,150.00,431.00,405.00,169.00,817.66,0.00,253.21,75.00,177.00,438.00,716.65,13.86,0.00,0.90
Sat    20/Feb/16,Feb-16,2774.61,2237000.00,1.24,1.38,939.89,772.62,147.39,624.96,289.76,1570000.00,1234.90,0.79,404.00,215.54,86.36,409.00,120.00,335.00,404.00,195.00,619.45,0.00,239.67,50.00,103.59,409.00,624.96,14.27,0.00,0.90
Sun    21/Feb/16,Feb-16,2594.04,2099000.00,1.24,1.38,821.70,730.95,155.38,596.32,289.68,1361000.00,1157.69,0.85,369.00,209.97,90.72,368.00,120.00,298.00,369.00,148.00,580.02,0.00,233.77,54.00,109.97,368.00,596.32,16.02,0.00,0.90
Mon    22/Feb/16,Feb-16,3343.59,2800000.00,1.19,1.33,1012.42,1008.58,165.28,681.39,475.92,1548000.00,1214.16,0.78,391.00,225.07,96.09,382.00,120.00,417.00,391.00,194.00,872.30,0.00,250.58,56.00,121.67,382.00,681.39,11.36,0.00,0.90
Tue    23/Feb/16,Feb-16,3404.21,2777000.00,1.23,1.36,1023.52,959.78,200.07,784.14,436.71,1546000.00,1293.61,0.84,435.00,229.50,110.12,409.00,110.00,417.00,435.00,160.00,808.70,0.00,254.14,61.58,147.09,409.00,784.14,14.10,0.00,0.90
Wed    24/Feb/16,Feb-16,3333.44,2701000.00,1.23,1.36,986.81,899.42,220.16,791.61,435.44,1513000.00,1247.68,0.82,379.00,221.33,119.35,418.00,110.00,423.00,379.00,174.00,747.59,0.00,244.02,71.56,169.41,418.00,791.61,13.30,0.00,0.91
Thu    25/Feb/16,Feb-16,3381.21,2882000.00,1.17,1.29,1031.43,975.64,228.76,651.44,493.93,1536000.00,1277.63,0.83,407.00,235.61,115.09,409.93,110.00,417.00,407.00,200.00,814.64,0.00,259.37,66.41,179.07,409.93,651.44,12.48,0.00,0.91
Fri    26/Feb/16,Feb-16,3159.05,2680000.00,1.18,1.30,967.23,907.68,210.16,658.49,415.49,1469000.00,1189.32,0.81,316.00,228.12,114.20,421.00,110.00,376.00,316.00,216.00,749.14,0.00,251.48,60.00,150.28,421.00,658.49,15.51,0.00,0.91
Sat    27/Feb/16,Feb-16,2939.37,2344000.00,1.25,1.38,920.88,832.03,179.30,666.64,340.52,1510000.00,1295.69,0.86,367.00,224.48,122.07,478.14,104.00,387.00,367.00,203.00,668.77,0.00,247.10,70.00,120.00,478.14,666.64,13.00,0.00,0.91
Sun    28/Feb/16,Feb-16,2827.42,2213000.00,1.28,1.40,931.05,756.73,182.81,648.99,307.85,1459000.00,1312.71,0.90,409.00,215.20,124.51,459.00,105.00,341.00,409.00,171.00,592.25,0.00,235.36,69.88,118.99,459.00,648.99,14.65,0.00,0.91
Mon    29/Feb/16,Feb-16,3586.79,2867000.00,1.25,1.37,1076.33,1028.48,230.09,748.59,503.30,1598000.00,1432.91,0.90,436.59,247.41,126.90,482.00,140.00,420.00,436.59,207.00,854.23,0.00,270.59,57.00,152.27,482.00,748.59,17.58,0.00,0.91
Tue    01/Mar/16,Mar-16,3334.83,2839000.00,1.17,1.28,997.06,961.51,218.52,716.33,441.40,1622000.00,1294.04,0.80,375.00,228.42,109.62,461.00,120.00,398.00,375.00,214.00,799.73,0.00,249.19,58.00,168.23,461.00,716.33,8.58,0.00,0.92
Wed    02/Mar/16,Mar-16,3192.61,2787000.00,1.15,1.25,926.21,947.85,249.08,652.44,417.03,1559000.00,1238.71,0.79,361.00,231.05,121.66,405.00,120.00,393.00,361.00,161.00,779.40,0.00,251.23,58.00,183.44,405.00,652.44,13.11,0.00,0.92
Thu    03/Mar/16,Mar-16,3335.34,2824000.00,1.18,1.28,986.61,1017.61,230.13,687.00,414.00,1548000.00,1338.96,0.86,395.00,239.82,117.14,467.00,120.00,403.00,395.00,180.00,844.67,0.00,260.45,58.00,169.52,467.00,687.00,11.19,0.00,0.92
Fri    04/Mar/16,Mar-16,3250.24,2937000.00,1.11,1.21,960.67,886.64,238.23,729.00,435.70,1597000.00,1331.65,0.83,395.00,222.37,127.28,467.00,120.00,376.00,395.00,186.00,728.61,0.00,243.91,55.00,163.00,467.00,729.00,13.70,0.00,0.91
Sat    05/Mar/16,Mar-16,2860.04,2270000.00,1.26,1.38,814.75,892.91,186.78,635.00,330.60,1461000.00,1259.61,0.86,388.00,235.77,104.84,421.00,110.00,309.00,388.00,174.00,720.79,0.00,258.61,50.00,127.98,421.00,635.00,11.90,0.00,0.91
Sun    06/Mar/16,Mar-16,3262.46,2404000.00,1.36,1.49,879.11,1082.16,235.06,644.31,421.83,1548000.00,1310.61,0.85,388.00,257.93,127.68,427.00,110.00,309.00,388.00,174.00,907.51,0.00,283.99,63.00,167.81,427.00,644.31,13.42,0.00,0.91
Mon    07/Mar/16,Mar-16,3400.97,2743000.00,1.24,1.37,973.05,966.46,289.23,672.95,499.28,1716000.00,1324.97,0.77,397.00,222.81,129.16,456.00,120.00,373.00,397.00,193.00,818.79,0.00,245.32,71.00,234.60,456.00,672.95,12.65,0.00,0.91
Tue    08/Mar/16,Mar-16,3567.47,3105000.00,1.15,1.26,991.90,1003.18,288.92,742.23,541.24,1639000.00,1366.08,0.83,392.00,235.40,145.68,473.00,120.00,423.00,392.00,170.00,843.37,0.00,258.57,70.00,207.47,473.00,742.23,19.87,0.00,0.91
Wed    09/Mar/16,Mar-16,3565.10,3065000.00,1.16,1.28,1021.25,1001.39,248.24,747.67,546.54,1685000.00,1365.92,0.81,398.00,233.60,125.31,489.00,120.00,431.00,398.00,181.00,843.37,0.00,256.60,60.00,182.55,489.00,747.67,12.48,0.00,0.91
